Country,Year,Population_15To64_Percent,Population_65andUp_Percent,Population_Growth_Percent,Population_Female_Percent,Population_Male_Percent,Rural_Population_Percent,Rural_Population_Growth_Percent,Urban_Population_Percent,Urban_Population_Growth_Percent,Life_Exp_Birth_Total_Yr,Life_Exp_Birth_Male_Yr,Life_Exp_Birth_Female_Yr
Blank,0,Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),"Population, female (% of total population)","Population, male (% of total population)",Rural population (% of total population),Rural population growth (annual %),Urban population (% of total population),Urban population growth (annual %),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)"
Burundi,2015,52.3834673716515,2.09585011067881,3.15690795388679,50.4850574318944,49.5149425681056,87.922,2.81401051757791,12.078,5.68911110706662,60.123,58.325,61.893
Burundi,2016,52.3029616242189,2.13529850080974,3.17701485540777,50.4647596367735,49.5352403632265,87.612,2.82380421106984,12.388,5.71129589240641,60.528,58.726,62.301
Burundi,2017,52.2577451836004,2.18676073257099,3.18120007897113,50.4434188201544,49.5565811798456,87.294,2.81757802946682,12.706,5.71579007248552,60.898,59.092,62.675
Burundi,2018,52.2513787905443,2.24694046033717,3.16691169681282,50.4219946366025,49.5780053633975,86.968,2.79276717428815,13.032,5.70023172321884,61.247,59.435,63.031
Burundi,2019,52.2872570156922,2.31209531524,3.1289321480628,50.4015453866706,49.5984546133294,86.634,2.74413867104999,13.366,5.65959386642583,61.584,59.764,63.377
Burundi,2020,52.3679431061905,2.38013742407565,3.07610176014791,50.3828722436314,49.6171277563686,86.292,2.68055964074893,13.708,5.60262426061548,61.584,59.764,63.377
Chad,2005,48.1582028385106,2.69631470213882,3.64986168707305,50.1665803342303,49.8334196657697,78.199,3.6076774013419,21.801,3.80132101144805,48.549,47.376,49.731
Chad,2006,48.1345061988363,2.67313460182742,3.50815725715737,50.1556929334859,49.8443070665141,78.166,3.46594465671459,21.834,3.65942516246599,48.907,47.725,50.096
Chad,2007,48.1849920096313,2.64788652715135,3.39310016650649,50.1450032820206,49.8549967179795,78.132,3.34959354294359,21.868,3.54869944303241,49.335,48.138,50.54
Chad,2008,48.3011444985277,2.62044703363536,3.32331568496484,50.1348627886808,49.8651372113192,78.099,3.28106833962895,21.901,3.47411524394552,49.82,48.599,51.049
Chad,2009,48.4700756832936,2.58925773175722,3.31157110166538,50.1259846116077,49.8740153883923,78.066,3.26930506430737,21.934,3.46214657371923,50.346,49.095,51.608
Chad,2010,48.6787131605598,2.55443043820787,3.33466929345193,50.1185897012199,49.8814102987801,78.015,3.26931998805434,21.985,3.56691017194242,50.89,49.604,52.188
Chad,2011,48.7955899972413,2.53131019440999,3.3635382470264,50.1128388948907,49.8871611051093,77.946,3.27505669775765,22.054,3.67688958728269,51.424,50.105,52.759
Chad,2012,48.9711883298461,2.50363127945404,3.37076756399417,50.1083791405196,49.8916208594804,77.858,3.25780566058341,22.142,3.76899221746416,51.928,50.579,53.294
Chad,2013,49.1902194126319,2.47640149153965,3.35106893405564,50.104720473225,49.895279526775,77.752,3.21483122130194,22.248,3.82865367658579,52.386,51.014,53.777
Chad,2014,49.4410244002188,2.45575715739215,3.29689942062191,50.1012473906877,49.8987526093123,77.628,3.13729218367291,22.372,3.85270020884968,52.789,51.403,54.196
Chad,2015,49.7186268135263,2.4447070454026,3.22199984419079,50.0974525424225,49.9025474575775,77.485,3.0376183320359,22.515,3.85915669128468,53.137,51.743,54.552
Chad,2016,49.9074968101164,2.4538548489664,3.14393299725849,50.093354753971,49.906645246029,77.323,2.93464194796458,22.677,3.86087532510691,53.438,52.041,54.856
Chad,2017,50.1327084490236,2.46671833784574,3.07750673636919,50.0890837911052,49.9109162088949,77.142,2.84314967140534,22.858,3.87250269568174,53.712,52.315,55.132
Chad,2018,50.393181066809,2.48051894434901,3.02350454795029,50.0848994170785,49.9151005829215,76.941,2.76260465167913,23.059,3.89900762821218,53.977,52.577,55.4
Chad,2019,50.687413635122,2.4916416230991,2.98613014725798,50.0810127020442,49.9189872979558,76.721,2.69978384788792,23.279,3.93569300119807,54.239,52.835,55.669
Chad,2020,51.0111248942521,2.49857785258663,2.95935371013085,50.077679346937,49.922320653063,76.48,2.64473715989963,23.52,3.98928926142496,54.239,52.835,55.669
Niger,2005,48.3642626166587,2.44321484282651,3.72792901512031,50.2112595319276,49.7887404680724,83.758,3.73389710806623,16.242,3.69715794452892,53.411,52.644,54.207
Niger,2006,48.0526084223448,2.45561872263454,3.74205798512953,50.1713627907414,49.8286372092586,83.762,3.74683029795261,16.238,3.71744413669106,54.18,53.378,55.015
